name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HK051,0.69897,0.5,-0.30103,1.69897,0.702423,0.49991,-0.297397,1.70224
HK052,0.69897,0.5,-0.30103,1.69897,0.711029,0.499897,-0.288765,1.71082
HK053,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK054,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK055,0.69897,0.5,-0.30103,1.69897,0.727577,0.499765,-0.271953,1.72711
HK056,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK057,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK058,0.69897,0.5,-0.30103,1.69897,0.725873,0.499957,-0.27404,1.72579
HK059,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK100,0.69897,0.5,-0.30103,1.69897,1.14166,0.412266,0.317129,1.96619
HK101,0.69897,0.5,-0.30103,1.69897,0.731962,0.499314,-0.266667,1.73059
HK102,0.69897,0.5,-0.30103,1.69897,0.605208,0.499323,-0.393438,1.60385
HK103,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK104,0.69897,0.5,-0.30103,1.69897,0.812463,0.498552,-0.184641,1.80957
HK105,0.69897,0.5,-0.30103,1.69897,0.547584,0.498006,-0.448429,1.5436
HK106,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK107,0.69897,0.5,-0.30103,1.69897,0.668023,0.49744,-0.326857,1.6629
HK108,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK109,0.69897,0.5,-0.30103,1.69897,0.716248,0.499406,-0.282564,1.71506
HK110,0.69897,0.5,-0.30103,1.69897,0.720221,0.493214,-0.266207,1.70665
HK111,0.69897,0.5,-0.30103,1.69897,0.58573,0.499116,-0.412501,1.58396
HK112,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK113,0.69897,0.5,-0.30103,1.69897,0.671049,0.499251,-0.327453,1.66955
HK114,0.69897,0.5,-0.30103,1.69897,0.614914,0.499044,-0.383175,1.613
HK115,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK116,0.69897,0.5,-0.30103,1.69897,0.697478,0.499658,-0.301839,1.69679
HK117,0.69897,0.5,-0.30103,1.69897,0.674713,0.499742,-0.324772,1.6742
HK118,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK119,0.69897,0.5,-0.30103,1.69897,0.671905,0.498742,-0.325579,1.66939
HK120,0.69897,0.5,-0.30103,1.69897,0.692643,0.499157,-0.305671,1.69096
HK121,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK122,0.69897,0.5,-0.30103,1.69897,0.686648,0.499592,-0.312536,1.68583
HK123,0.69897,0.5,-0.30103,1.69897,0.699214,0.499764,-0.300314,1.69874
HK124,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK125,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK126,0.69897,0.5,-0.30103,1.69897,0.707571,0.499575,-0.29158,1.70672
HK127,0.69897,0.5,-0.30103,1.69897,0.666005,0.499893,-0.333782,1.66579
HK128,0.69897,0.5,-0.30103,1.69897,0.678511,0.499796,-0.32108,1.6781
HK129,0.69897,0.5,-0.30103,1.69897,0.750468,0.498447,-0.246426,1.74736
HK130,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK131,0.69897,0.5,-0.30103,1.69897,0.67536,0.499857,-0.324353,1.67507
HK132,0.69897,0.5,-0.30103,1.69897,0.725575,0.499831,-0.274086,1.72524
HK133,0.69897,0.5,-0.30103,1.69897,0.687753,0.499866,-0.31198,1.68748
HK134,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK135,0.69897,0.5,-0.30103,1.69897,0.692912,0.499963,-0.307014,1.69284
HK136,0.69897,0.5,-0.30103,1.69897,0.653046,0.499871,-0.346696,1.65279
HK137,0.69897,0.5,-0.30103,1.69897,0.677923,0.499931,-0.32194,1.67779
HK138,0.69897,0.5,-0.30103,1.69897,0.695557,0.498619,-0.301681,1.6928
HK139,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK140,0.69897,0.5,-0.30103,1.69897,0.706391,0.499982,-0.293574,1.70636
HK141,0.69897,0.5,-0.30103,1.69897,0.633771,0.499883,-0.365996,1.63354
HK142,0.69897,0.5,-0.30103,1.69897,0.692592,0.499954,-0.307316,1.6925
HK143,0.69897,0.5,-0.30103,1.69897,0.695159,0.498901,-0.302642,1.69296
HK144,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK145,0.69897,0.5,-0.30103,1.69897,0.573359,0.499562,-0.425765,1.57248
HK146,0.69897,0.5,-0.30103,1.69897,0.711632,0.499917,-0.288201,1.71146
HK147,0.69897,0.5,-0.30103,1.69897,0.742604,0.499905,-0.257207,1.74241
HK148,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK149,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK150,0.69897,0.5,-0.30103,1.69897,0.708336,0.499966,-0.291596,1.70827
HK151,0.69897,0.5,-0.30103,1.69897,0.647624,0.499761,-0.351898,1.64714
HK152,0.69897,0.5,-0.30103,1.69897,0.682875,0.499767,-0.316659,1.68241
HK153,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK154,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK155,0.69897,0.5,-0.30103,1.69897,0.720635,0.499432,-0.278228,1.7195
HK156,0.69897,0.5,-0.30103,1.69897,0.634315,0.49956,-0.364804,1.63344
HK157,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK158,0.69897,0.5,-0.30103,1.69897,0.685905,0.499368,-0.31283,1.68464
HK159,0.69897,0.5,-0.30103,1.69897,0.69897,0.5,-0.30103,1.69897
HK200,0.69897,0.5,-0.30103,1.69897,0.751076,0.331109,0.0888584,1.41329
